image_id,disease,location,organ
27257464_fig2,Air in the Stomach,Below the diaphragm,
25437687_fig0005,infarct,,brain
25437687_fig0005,infarct,right frontal lobe,brain
25437687_fig0005,infarct,occipital lobe,brain
27257469_F2,,,lungs
24594320_F5,None explicitly mentioned,,mammary gland
25210218_F2,Pexy deficiency,hyoid bone and cricoid cartilage,Necks
25460439_fig0015,Osteomyelitis,,clavicles
25460439_fig0015,Abscess,,clavicles
24595367_pone-0091083-g001,,airways or alveoli,lungs
25460432_fig0015,epiploic appendagitis,,epiploic appendage
27895946_fig1,Pneumonia,Right lung,Lungs
25221684_fig1,Pulmonary embolism,Bilateral,Lung
24599598_Fig4,,,orbit
27895668_fig4,miliary pulmonar nodules,,lungs
25221682_fig2,pulmonary fibrosis,,chest
25610688_fig1,,,
27895952_fig3,radiolucency,,heart
25221682_fig3,Lung Cancer,,Lungs
25785214_fig8,,,knee
27876089_Fig5,opacity,upper part,right lung
24723830_fig2,,,
25186142_F1,...,...,...
25745335_F2,...,...,...
24723965_fig5,Eosinophilic Pneumonia,,Lung
25210275_F2,,bilateral lung fields,Lung
25949426_fig1,,bilateral hyperintense signal abnormalities,brain
25210334_F1,Type A basilar invagination,foramen magnum,cervical spine
25210334_F1,Assimilation of atlas (C1),foramen magnum,cervical spine
25210334_F1,Fusion of C2-C3,cervical spine,cervical spine
25949426_fig2,,,
25972939_F1,Brain Tumor,Infundibular and Sellar regions,Brain
32765983_FIG1,,,chest
24826334_fig4,Myo cardial炎,,myocardium
32321896_g002,,,
24798348_pone-0095404-g003,Malignant lymph nodes,,Lymph node
25210334_F12,,basilar invagination,skull
25977884_Fig5,Cerebral Metastases,,Brain
32701249_Figure2,,inflammation or infection,lung
24658595_F5,papilloma,apical part,gallbladder
26366076_f2-ijn-10-5543,Glioma,Within the Brain,Brain
32862109_fig0020,dextrocardia,right side,heart
24801709_pone-0094972-g006,,,
25210334_F15,,,body
26405559_fig4-2058460115592273,,Hypointense tissue surrounding,Coronary artery
24808939_fig7-2041731414523441,,,
25210334_F16,,,spine
34691387_f2,high attenuation lesion,,right skull base
32922585_fig0003,Interstitial lung disease,medial right basilar,lungs
32922585_fig0003,Interstitial lung disease,left mid to lower lung,lungs
32922585_fig0003,Pneumonia,bilateral perihilar and suprahilar,lungs
25295205_fig1, soft tissue mass,proximal to the nerve root,spinal canal
34675323_Fig3,,Inferior pole of left kidney,Kidney
24988329_pone-0101624-g004,Parkinson's Disease,0.1 mm from DBS passage,substantia nigra
24988329_pone-0101624-g004,Parkinson's Disease,1.0 mm from DBS passage,substantia nigra
24988329_pone-0101624-g004,Parkinson's Disease,2.0 mm from DBS passage,substantia nigra
24988329_pone-0101624-g004,Parkinson's Disease,3.0 mm from DBS passage,substantia nigra
25295205_fig6,,,cervical spine
33052272_FIG1,Pneumonia,Lower and Left Middle Zones,Lungs
24988329_pone-0101624-g005,null,,skin
26229653_fig04,Rectal Gas,,Rectum/Colon
33052276_FIG1,,bronchovascular markings,lungs
24952511_Fig1,-,...,-
24952511_Fig1,-,...,-
24952511_Fig1,-,...,-
24952511_Fig1,EBL or EBER-positive lymphoma,...,lymphatic system
24274703_F1,Spinal Injury,L2-3 Vertebrae,Spine
33052276_FIG9,,,chest
24970330_F3,Inflammatory response to bleomycin,alveolar spaces and inhalation airways,lung
25395964_F0001,,right lower lobe,lung
26688814_fig2,DFSP,,subcutaneous tissue
24970330_F7,Bleomycin-induced lung injury,,Lung
25395962_F0001,,,
26693369_fig3,myelopathy,cervicomedullary junction,spinal cord
24964787_F1,"Carcinoma of the bladder, clear cell type",Urothelium,Urothelium
24964787_F1,"Carcinoma of the bladder, clear cell type",Urothelium,Urothelium
24964787_F1,"Carcinoma of the bladder, clear cell type",Urothelium,Urothelium
24964787_F1,"Carcinoma of the bladder, clear cell type",Urothelium,Urothelium
24964787_F1,"Carcinoma of the bladder, clear cell type",Urothelium,Urothelium
25395963_F0002,Polycyclic neck mass,Laryngeal cartilages,Neck
25025074_fig3,human serous ovarian cancer,,ovarian
25017027_Fig1,,C1-type fracture,Spine
26216293_Fig1,,RL,right lung
26216293_Fig1,,LL,left lung
26216293_Fig1,,RA,right atrium
26216293_Fig1,,LA,left atrium
26216293_Fig1,,RV,right ventricle
26216293_Fig1,,LV,left ventricle
33158840_F3,COVID-19,,chest
25031606_fig1,Fatty liver,,Liver
25031606_fig1,,,Liver
25031606_fig1,,,Liver
25031606_fig1,,,Liver
25478271_fig1,osteoma,medial wall of the left-sided maxillary sinus,maxillary sinus
26762399_Fig1,Multiple Sclerosis,,Brain
25214783_f6-ijn-9-4191,hepatoma,,liver
25214783_f6-ijn-9-4191,hepatoma,,liver
25214783_f6-ijn-9-4191,hepatoma,,liver
25478271_fig2,osteoma,medial wall,maxillary sinuses
33178518_FIG2,,within the heart,right ventricle
25210137_RJU087F2,Alcoholic liver amyloidosis,muscularis propria,stomach
25478263_fig3,cancer,,chest
26762399_Fig4,,,
33178536_FIG1,,,chest
33178536_FIG1,,,chest
25210137_RJU087F3,Amyloidosis,Musculi propria layer,Duodenum
24770638_fig_003,,,Colon
25290383_fig0010,,,Abdomen
26762399_Fig7,,,Brain
33414829_fig4,Pulmonary Edema,Shift of blood flow,Upper lobe
33414829_fig4,Cardiomyopathy,,Heart
24770645_fig_004,Calcium Deposition,Vertebra,Bone
24770645_fig_004,Cartilage Degeneration,Vertebra,Cartilage
24770645_fig_004,Endochondral Ossification,Vertebra,Bone
25462056_fig0005,hepatocellular carcinoma,left lateral section of the liver,liver
26762399_Fig9,,Grey Matter,Brain
26762399_Fig9,,White Matter,Brain
24770648_fig_004,Spinal Disc Degeneration,Annulus Fibrosus,Spinal Disc
24770648_fig_004,Spinal Disc Degeneration,Nucleus Pulposus,Spinal Disc
25308188_fig0005,Calculus in the urinary system,Anterio-lateral wall,Urinary bladder
26793488_fig1,,superior pole,
33364124_FIG2,Cardiomyopathy,Heart,Heart
24987093_fig5,Histoplasmosis,,Lung
24987093_fig5,Histoplasmosis,,Lung
24987093_fig5,Histoplasmosis,,Lung
25290385_fig0015,myositis,left side,muscle
26767503_Fig1,,medial,tibia
26767503_Fig1,,lateral,tibia
24987093_fig9,,,lung
24987093_fig9,,,lung
24987093_fig9,,,lung
25290385_fig0030,myositis,,muscles
27026849_Fig1,initial Complete Response (iCR),enhancement area,breast
27026849_Fig1,progressive Complete Response (pCR),no residual invasive cancer cells; fibrotic and granular changes at high magnification,breast
33363691_fig0002,Tension pneumothorax,Carina,Lungs
25290385_fig0035,myositis,,muscle tissue
27026849_Fig2,Luminal type breast cancer,tumor,breast
27026849_Fig2,Luminal type breast cancer,tumor,breast
25228846_F3,acute inflammatory lesion,appendiceal,appendix
27026849_Fig3,Her2-enriched breast cancer,tumor/mass,breast
34079652_FIG1,infection,,lungs
24279645_F7,Diabetes,,Pancreas
25587363_F17,Orbital Swelling,right upper lid,orbit
25587363_F17,Intracranial Supraorbital Abscess,supremum,orbit
26996514_f8,,,Internal Structures
34055301_f8,,right mid and lower zone,lungs
34055301_f8,,left lower zone,lungs
24279645_F9,Insulin-related pathology,Islets of Langerhans,Pancreas
25587363_F19,,medial and posterior,temporal bone
26921536_fig0010,Atrophy,,Pronator quadratus muscle
34079663_FIG2,Pleural Effusion,,Pleurals
25295064_fig7,,tracheal luminal area,trachea
25466213_Fig2,null,Femoro-popliteal area,Abdominal region
27000749_Fig8,,,
34079649_FIG1,PLEURAL EFFUSION,LEFT,PLEUMASIS
24274149_F4,Embryonal rhabdomyosarcoma (eRMS),,
24274149_F4,poorly differentiated malignant epithelioid neoplasm,,
25548707_fig1,Unknown,submandibular space,submandibular tissue
27057238_F1,Lesions,Right Cerebellar Hemisphere,Cerebral Hemispheres
34079674_FIG1,Pneumonia,Bilateral,Lungs
24274149_F5,alveolar rhabdomyosarcoma (aRMS),,tumor
24274149_F5,pleomorphic rhabdomyosarcoma (RMS),,tumor
27057239_F3,hyperintense lesion,,brain
33566967_f02001,Chagas disease,,Heart
25295181_fig5,,,
25295181_fig5,,,
25295181_fig5,,,
25576166_RJU142F1,Intussusception,Intestines,Abdomen
25576166_RJU142F1,Crohn's Disease,Intestines,Abdomen
25576166_RJU142F1,Inflammatory Bowel Disease,Intestines,Abdomen
27057239_F4,,nasal tip,nose
33566967_f03001,Chagas disease,,heart
25295181_fig6,,,Kidney
27057242_F4,,central,spinal
26191478_Fig5,Heart Disease,,Heart
26191478_Fig5,Interstitial Lung Disease,,Lungs
26191478_Fig5,Lymphedema,,Mediastinum
25295181_fig7,,renal tubules and glomeruli,kidney
25295181_fig7,,renal tubules and glomeruli,kidney
25295181_fig7,,renal tubules and glomeruli,kidney
25684900_F6,,,Heart
27057242_F5,,,
26180393_F1,pleural effusion,right lung area,pleura
25295181_fig8,,,kidney
25295181_fig8,glomerulonephritis signs,,kidney
25295181_fig8,recovery or protective effect,,kidney
25684900_F7,,,left atrium
27057242_F6,,,brain
26180393_F3,Pleural Effusion,,Chest
26180393_F3,Biloma(s),,Abdomen
25722667_F2,tumor,middle lobe,lung
25722667_F2,miliary metastasis,scattered within lung tissue,lung
27003759_pone.0151789.g002,Breathing disorder,Tongue level,Airway
25295181_fig10,,,renal
25504434_F4,prostate cancer,,prostate gland
27069976_fig0015,Tumor,Corticospinal tracts or bulbus cerebrosus,Brain
27069976_fig0015,Inflammation,Chest,Bone marrow
25254962_pone-0107931-g009,,Central region of the eye,Cornea's stromal layer
25648269_Fig1,mass,6.4 x 3.7 cm,kidney
27069980_fig0035,,microcystic with sponge-like appearance,liver
26180400_F1,nodular opacities,,lungs
26180400_F1,cannon ball opacities,,lungs
25254962_pone-0107931-g010,,Under the epithelium,Eye
25692056_fig2,Thrombosis,Left,Jugular Vein
27069704_fig1,Spondylolisthesis,L4-S1 and L5-S1,Spine
25254962_pone-0107931-g011,uv-related eye tissue damage,,eye
25254962_pone-0107931-g011,uv-related eye tissue damage,under the epithelium,eye
25674344_F1,mass lesion,left pons,pons
27025582_Fig2,Fe3O4 nanoparticles (NPs),,
25364161_F6,Squamous cell carcinoma,infiltrative tumor mass,submucosal layer of the mucosa
25674346_F1,Exophthalmos,Right Eye,Eye
25674346_F1,Dystopia,Right Eye,Eye
27081239_F6,,cortical,cingulate gyrus
26251691_F1,,left upper hilar,lungs
25364178_F2,,lining of an odontogenic cyst along with its supporting connective tissue wall,bone
25674346_F2,Hypoplasia,Superior Orbital Fissure,Orbital Cavity
27081223_F5,Placental abruption,Margin of chorion,Placenta
26309729_f1,collapse of the lung,left,lung
26029579_fig2,interstitial lung disease,pleura along the lung walls,lungs
26029579_fig2,interstitial lung disease,honeycombing spaces within the lungs,lungs
27081223_F7,Ascitic fluid,Hypointense area,Abdomen
27081223_F7,Small midline defect in the anterior myometrium,Full-thickness defect,Uterus
2856467_f1-kjim-1-2-249-18,Infection,Right upper lung,Lung
2856467_f1-kjim-1-2-249-18,Infection,Lower lungs,Lungs
27065425_F1,Multiple Sclerosis,,White matter of the brain
26301113_fig1,ectopic kidney,,kidney
25784787_f3-opth-9-423,,,orbit
26788078_F0001,Crohn's disease,, lung/pleura
26788078_F0001,Pleuropneumonia,, lungs/pleura
26788078_F0001,Mesalazine,,
26788078_F0001,IBD-related pathology,, lung/pleura
25364248_f8-ijn-9-4899,,,brain
25815227_fig1,subcutaneous emphysema,within subcutaneous tissue,tissue
26788078_F0002,organizing pneumonia,subpleural nodes in the lung area,lungs
25351258_f4,myocardial infarction,infarct zone,heart
25351258_f4,myocardial infarction,border zone,heart
25351258_f4,myocardial infarction,remote zone,heart
25815227_fig2,,,
27698650_F1,infarction,left putamen,brain
27698650_F1,infarction,thalamus,brain
27698650_F1,infarction,subcortical regions of the frontotemporal lobe,brain
26519813_fig0005,,right hemithorax,Chest
25363213_f8,Not mentioned,,Major Visceral Organ
25363213_f8,Not mentioned,,Major Visceral Organ
25363213_f8,Not mentioned,,Major Visceral Organ
26113967_F1,pneumocephalus,intracranial space,brain
27695645_F6,Nanoparticle accumulation,tumor,brain
26520033_fig0015,,,Chest
25541617_fig2,Gliosis,Cannula tract,Bone (osseous)
26113967_F2,pneumocephalus,cranial cavity,brain
26629849_fig0005,fragmented tracheostomy tube,left lower main bronchus,bronchus
25548429_fig2,squamous cell carcinoma,,Lung
25548429_fig2,adenocarcinoma,,Lung
26113968_F3,Chronic Subdural Hematoma (CSH),Under the skin adjacent to the hematoma,Brain
27716571_fig0010,Vertebral Destruction,,Spine
27716571_fig0010,Spinal Compression Fracture,,Spine
26788271_fig001,pneumonia,left upper lung zone,lung
26788271_fig001,pneumonia,left upper lung lobe and lingula with air bronchogram,lung
25460442_fig0020,Ureteral involvement,,ureter
25803170_F8,Triple Negative Breast Cancer,,breast
25803170_F8,Triple Negative Breast Cancer,,breast
27820852_pone.0165897.g007,,joint,knee
26788271_fig003,,,
26167025_F1,,,
27844058_F8,hippocampal volume reduction,hippocampal,hippocampus
27844058_F8,ventricular enlargement,lateral ventricles,ventricles
25745544_f8-mjhid-7-1-e2015017,Leukemia,Infiltrating areas of the bone tissue,Bone
25961383_sensors-15-10852-f002,,,
27401340_f2,Cancer,,Tumor
26858931_f0005,multilobular perihilar infiltrates,right lung,right lung
26113164_Fig1,tumor invasion,,superior mesenteric artery (SMA)
26113164_Fig1,tumor invasion,,celiac artery (CA)
27401340_f5,Renal Cell Carcinoma,Ablated tumor area,Kidney
26755940_F2,Cardiomyopathy,,Heart
26755940_F2,Pulmonary fibrosis,Upper lobe,Lungs
26124955_fig1,extensive cervical haemorrhage,,cervical region
26124955_fig1,left lower pole parathyroid adenoma,near the lower part of the left thyroid gland,parathyroid gland
27965577_F1,glioblastoma,highly heterogenic region,brain
27231696_fig1-2324709616648992,Cardiomegality,,Heart
27231696_fig1-2324709616648992,Increased vascular markings,Lung fields,Lungs
27231696_fig1-2324709616648992,Right lower lobe consolidation,Right lower lobe,Lungs
25654651_fig8s1,Alzheimer's,,cerebellum
25654651_fig8s1,Alzheimer's,,brain stem
26161211_F0002,tumor,,pelvis
27920658_F1,myositis,medial and lateral head of the gastrocnemius muscles,muscle
27192147_pntd.0004701.g001,Maf infection,,
27192147_pntd.0004701.g001,Tuberculosis infection,,Chest
25785244_F1,Prostate Cancer (PC),prostate tissue,prostate
25785244_F1,Prostate Cancer (PC),neuroendocrine cells with large eosinophilic granules,prostate
26161211_F0003,fasciitis,inflamed fascia,pelvis
27920658_F3,Inflammation,Previously involved areas,Muscle groups
27180321_fig0010,left basal transparency reduction,lower part of the left lung,lung
25785244_F2,prostate cancer,,prostate
26161177_F0001,PHNEC,Segments VI and VII,Liver
27375400_F2,Bronchiectasis,,Lung
27375400_F2,Fibrosis,,Lung
25785244_F4,Small Cell Lung Cancer (SCLC),,Lung
26031648_BJSPORTS2014094436F1,ossification,,bone
27375400_F3,,left lung,lungs
25745505_Fig3,,,Liver
25745505_Fig3,,,Muscle
26031648_BJSPORTS2014094436F5,,,pubic apophysis
26163670_gov026-F1,hematoma,presacral space,sacrum
26171270_fig1,serous积液,right lower quadrant,abdomen
25834369_F2,cancer,,dermis
26171270_fig2,,right lower quadrant of the abdomen,abdomen
28119772_F1,,sternoclavicular joint,sternum
25852929_SFU069F1,hypercellular glomeruli,,kidney
25852929_SFU069F1,neutrophilic infiltration,,kidney
34765255_F8,Multiple Sclerosis,,Brain
27358743_fig1,pulmonary infiltrates,,lungs
27358743_fig1,pulmonary infiltrates,middle to lower field of right lung and lateral side of left middle lung,
25881076_Fig3,metastasis,sciatic and lumbar lymph nodes,lymph nodes
34765255_F9,breast sarcoma,,breast
25949350_F1,acute eosinophilic tubulointerstitial infiltration,,lungs
25949350_F1,non-caseating granuloma,,lungs
34745620_ccr35000-fig-0001,tumor,upper aspect,parietal lobe
25949349_F1,kidney disease,tubules of the kidney,kidney
26011803_fig0005,Left Ureteric Calculus,left ureter,Ureters
26011803_fig0005,Left Hydronephrosis,left kidney,Kidney
28376417_fig0005,,,left lung
25949349_F2,Plasmatic_cells,Expanded_porta's_space,Liver
25949349_F2,Eosinophils,Expanded_porta's_space,Liver
26011803_fig0010,Obstructive uropathic calculi,,ureter
34805830_f1,hepatocellular carcinoma,right lobe of the liver,liver
25945502_pone.0125169.g001,,normal alveolar tissue,lungs
25945502_pone.0125169.g001,,alveolar space and septum with interstitial edema and inflammatory cell infiltration,lungs
25945502_pone.0125169.g001,,"alveolar space and septum, less severe signs of inflammation",lungs
25945502_pone.0125169.g001,,alveolar space and septum with even less severe signs of inflammation,lungs
25985295_fig0015,,left condyle with a vertical break along its length,skull base
25985295_fig0015,,bilateral condylar fractures, jawbone
25915743_fig2,Steatosis,,Liver
25915743_fig2,Lipid Accumulation,,Liver
25985295_fig0025,Osteoak dysplasia,Pelvis,Axial skeleton
28250494_F1,Left lung opacities,,lungs
28250494_F1,Pleural effusion (blunting of costophrenic angles),costophrenic angle,lungs
28250494_F1,Pneumomediastinum,mediastinum,heart-lung region
25950608_f2,,,lymph node
28260935_f1-idr-10-061,No specific disease mentioned upon admittance,,Lungs
28260935_f1-idr-10-061,Possible infection or complications,,Lungs
28260935_f1-idr-10-061,Severe respiratory distress or failure,,Lungs
25951178_pone.0125807.g005,Osteoclasts,Near the bone surface,Bone
28183395_f1,Influenza A (H1N1) flu,,Lungs
28183395_f1,Influenza A (H1N1) flu,Increased opacity in the lung fields in chest X-ray; consolidation and ground-glass opacities in CT scan,Lungs
26218768_f7,Breast Cancer,,Lung
26048630_fig0020,subcutaneous nodules,subcutaneous,abdomen
28435331_f1-imcrj-10-123,bilateral alveolar infiltrates,alveoli,lungs
26218768_f8,Breast/MDA-MB-231,areas of infiltration,Lung
26070185_fig0005,,,pelvis
26070185_fig0005,,,pelvis
34377104_fig6,Hepatocellular carcinoma,within the liver,Liver
28435331_f3-imcrj-10-123,lesions,,chest
26380135_fig2,mesenchymal tumor,,
26057354_fig0005,Enhanced mass,periampullary region,Biliary system
34377104_fig7,Hydrochoronicystrophe,,brain
28959432_rjx190F1,,,lungs
26425717_f0005,breast carcinoma,ductal and lobular carcinoma,breast
26155444_Fig1,incisional hernia,,abdominal wall
26155444_Fig1,gallbladder,within the incisional hernia,gallbladder
26155444_Fig1,digestive structure,within the incisional hernia,digestive system
29152435_FIG1,Pneumonia,Lower lobes,Lungs
26425717_f0010,pleomorphic infiltrative carcinoma,,labium
26155444_Fig3,Gallstones,"Small, dense, irregularly shaped objects marked by arrows",Gallbladder
26155444_Fig3,Volvulus,Whirl-sign on coronal planes,Gallbladder
34377105_fig2,,,
29115093_F1,dextrocardia,,heart
26310779_f1-ijmm-36-04-0975,Glomerular Sclerosis,glomeruli,renal
26310779_f1-ijmm-36-04-0975,Interstitial Fibrosis,interstitium,renal
25738470_F1,,,
34377105_fig3,,,
29414895_children-05-00022-f001,Emphysema,,chest
29414895_children-05-00022-f001,Pneumomediastinum,linear streaks/pockets,mediastinum
26390868_Fig2,,,dermis
29515414_F3,ground-glass opacities,,lungs
29515414_F3,diffuse infiltrative shadows,,lungs
26417445_fig03,,,Spleen
25700312_F6,,,inferior vena cava
34377105_fig8,,,
29506573_Fig1,,,
26417446_fig02,Airway Inflammation,,Lung
26417446_fig02,Airway Inflammation,peribronchial and perivascular areas,Lung
26417446_fig02,Airway Inflammation,parenchyma,Lung
26296659_Fig1,,,breast
34377103_fig6,hemorrhage,,brain
29455176_F1,Nodular Lesions,both lobes of the lungs,Lungs
26246476_F1,Melanoma,,Skin
34377103_fig7,Neurological condition,,Brain
29531872_FIG1,pneumonia,right upper lobe,lung
26468373_fig1,,"2nd intercostal space, between the 2nd and 3rd costal cartilages",Abdomen
34345332_fig0003,stenosis,bilateral internal carotid arteries (ICAs) at C1-C2,cerebrum
34345332_fig0003,stenosis,middle cerebral arteries (MCAs) at M1-M2,cerebrum
34345332_fig0003,stenosis,right anterior cerebral artery (ACA) at A1,cerebrum
33398946_F4,COVID-19,,
33398946_F4,COVID-19,,
33398946_F4,COVID-19,,
33398946_F4,COVID-19,Lungs,Chest
26041888_F9,,,liver
26041888_F9,,,lungs
26041888_F9,,,kidneys
26041888_F9,,,spleen
26041888_F9,,,heart
26041888_F9,,,brain
26351535_F3,Meningitis,around the mastoid process,Brain
34345332_fig0005,stenosis,brain,internal carotid arteries
34345332_fig0005,stenosis,brain,middle cerebral arteries
34345332_fig0005,stenosis,right,anterior cerebral artery
33415049_FIG1,Pleural Effusion,LEFT SIDE OF CHEST,PLEURAS
26351535_F4,Congenital anomaly of the cochlea,,inner ear
34834370_pharmaceutics-13-01955-f002,Osteoarthritis/Deformity,,Humeral Head
33415049_FIG4,,left-sided,pleur
26955503_F1,prostatic intraepithelial neoplasia,,prostate
26628715_RJV147F2,Subcutaneous emphysema,,subcutaneous tissues
26628715_RJV147F2,Pneumomediastinum,,mediastinum
26628715_RJV147F2,Pneumoperitoneum,,peritoneal cavity
26949471_F6,Ewing's sarcoma,,bone
26722241_f1-ol-0-0-3694,,right ectogluteus,ectogluteus
34564299_tomography-07-00037-f007,Osteochondral Lesion,,tali
34564299_tomography-07-00037-f007,Bone Marrow Edema,medial aspect,tali
34564299_tomography-07-00037-f007,Bone Marrow Edema,oedematous area,tali
26949471_F7,,Antoni B areas,
26634002_F2,,,
34712287_F1,Diffuse large B-cell lymphoma,,Lymph nodes
26949457_F5,,,
26634111_A3913FIG2,,atria or ventricles,heart
34712287_F2,Burkitt lymphoma,,lymph nodes
34864285_f0015,,,brain
26905875_Fig5,prostate adenocarcinoma,,prostate
26839724_fig1,,left eye,eye
34864285_f0020,mengingioma,,Brain
26839708_fig1,biliary cystadenoma,,liver
34864285_f0025,metastatic brain tumor,,brain
26911832_Fig3,cutaneous leishmaniasis,,skin
34864285_f0030,glioblastoma,enhancing region,brain
27051319_f2-imcrj-9-065,,various areas of the histologic slide,Central Nervous System
26771006_F5,osteolytic lesion,lesion,vertebra
33520223_fig1,pneumonia,basal lung areas,lungs
27002331_pone.0152085.g001,hepatocellular fibrosis,,liver
27002331_pone.0152085.g001,hepatocellular fibrosis,,liver
27002331_pone.0152085.g001,hepatocellular fibrosis,,liver
27002331_pone.0152085.g001,hepatocellular fibrosis,,liver
27002331_pone.0152085.g001,hepatocellular fibrosis,,liver
27002331_pone.0152085.g001,hepatocellular fibrosis,,liver
26763981_RJV174F1,,Dilated stomach,Abdomen
33520223_fig2,Pneumonia,Basal sinistra,Lung
26984279_fig1s2,Glioblastoma,Adjacent to the Tumor Mass,Brain/Tumor Area
26788482_F2,Mass lesion,,Septum
35356159_ccr35582-fig-0002,,T6 and T7,Vertebra
33520223_fig3,ground-glass opacities (GGOs),periphery of the left lung,lung
26984279_fig2s1,Glioblastoma,Tumor cells,Brain/tumor
26984279_fig2s1,Grade IV Glioblastoma,Gliomas,Brain/tumor
26878007_F2,cancer,,abdominal
34976210_F3,,tumors,tumors
34976210_F3,,kidney,kidneys
33520223_fig4,ground-glass opacities,peripheral regions of the lungs,lungs
33520223_fig4,multifocal consolidation,parahilar and paracardial regions of the right lung,lungs
27069316_fig1,asthma,,lungs
27069316_fig1,pulmonary congestion,,lungs
27069316_fig1,inflammatory lung disease,,lungs
27069316_fig1,inflammatory lung disease,,lungs
34987685_fig0005,muscle abscess,bilateral within iliofacial muscles,ilioscapular region
33520223_fig5,Ground-Glass Opacity,periphery of the left lung,Lungs
26878009_F6,Intraocular involvement,within the eye,intraocular
35327431_biomedicines-10-00627-f002,epilepsy,,brain
35327431_biomedicines-10-00627-f002,epilepsy,,
33520223_fig6,Consolidation,Basal right lung,Lung
26927073_ijms-17-00284-f002,,,muscle tissue
26927073_ijms-17-00284-f002,,,muscle tissue
26927073_ijms-17-00284-f002,,,muscle tissue
26927073_ijms-17-00284-f002,,,muscle tissue
26927073_ijms-17-00284-f002,,,muscle tissue
26927073_ijms-17-00284-f002,,,muscle tissue
26881146_fig1,Hemorrhagic tumors,lingual/palatal gingiva,maxillar and mandibular structures
26881146_fig1,Periodontal disease,occlusal surfaces of teeth roots and gingiva,maxillofacial region
26881146_fig1,Osteoporosis/bone loss,"mandible, displaced in lateral skull X-ray",maxillar and mandibular structures
26881146_fig1,Goiter,,thyroid lobe (maxillofacial region)
26881146_fig1,Pseudoaponeuroses of compact bone,,mandibular compact bone trabeculae
34946256_medicina-57-01311-f003,hyperintense geographic edema,,lower lumbar region
34946256_medicina-57-01311-f003,bone necrosis,,vertebral body
27073402_fig2,Heart failure,,Right ventricle
27073402_fig2,Vacuolization,,Right ventricle
27073402_fig2,Myocardial ultrastructural issues,,Myocardium
26881166_fig3,Lung Cancer,Left lower lobe,Lung
33520219_fig2,Enlarged Heart,,Heart
33520219_fig2,Bilateral Lung Opacities,,Lungs
26289399_F1,Osteoarthritis,seminiferous tubule,testis
26289399_F1,Sarcoid Osteomyelitis,Sertoli cells,testis
26289399_F1,Sarcoid Osteomyelitis,spermatogonia,testis
26289399_F1,Sarcoid Osteomyelitis,spermatocytes,testis
26289399_F1,Sarcoid Osteomyelitis,spermatids,testis
26289399_F1,Sarcoid Osteomyelitis,Sertoli cells,testis
26289399_F1,Sarcoid Osteomyelitis,germ cells,testis
26831185_Fig1,,,
35399302_fig1,tumor,left maxillary sinus,maxillary sinuses
33628547_fig1,cardiomegaly,,
33628547_fig1,pulmonary edema,,lungs
26999717_fig2,MDA-231,,Lungs
26999717_fig2,MDA-231,,Lungs
26999717_fig2,Hs578T,,Liver
26999717_fig2,Hs578T,,Liver
35505445_Fig1,Medulloblastoma,area of abnormal tissue,Brain
33604221_FIG1,COVID-19 infection,base of the lungs,lungs
27232881_pone.0155132.g001,Pure mucinous breast carcinoma (PMC),in the breast tissue,breast
27232881_pone.0155132.g001,pure mucinous breast carcinoma (PMC),,
26831185_Fig5,,,cervix
35505445_Fig3,pilocytic astrocytoma,,cerebellum
33585020_F2,,,chest
27234802_Fig1,Liver Fibrosis,,liver
27234802_Fig1,Lipid Accumulation,,liver
26881151_fig3,perforated diverticulitis,,sigmoid colon
35505445_Fig5,Pontine-glioma grade III,,Brain
33578518_F1,pleural effusion,,pleura
27307733_f11-ijn-11-2329,,,cells
27307733_f11-ijn-11-2329,,,cells
27307733_f11-ijn-11-2329,,,cells
26881170_fig1,Left diaphragmatic rupture,,Diaphragm
26881170_fig1,Left intrathoracic kidney,,Kidney
35505445_Fig6,Pineoblastoma,,orbit
33833928_FIG1,right lower lobe lobar consolidation,lobar consolidation area,right lower lobe of the lung
27488004_F2,diffuse large B cell lymphoma,,lymphatic system
27488004_F2,diffuse large B cell lymphoma,,lymphatic system
27488004_F2,diffuse large B cell lymphoma,,lymphatic system
27488004_F2,diffuse large B cell lymphoma,,lymphatic system
26881086_fig5,,,knee joint
35516716_jfmpc_1251_21-f006,,left,adrenal glands
33431741_f3,,lung tissue,thoracic cavity
33431741_f3,,lung tissue,thoracic cavity
33431741_f3,,lung tissue,thoracic cavity
33431741_f3,,lung tissue,thoracic cavity
33431741_f3,,lung tissue,thoracic cavity
33431741_f3,,,thoracic cavity
27488004_F3,Non-germinal centre diffuse large B cell lymphoma,,lymphatic tissue
35516716_jfmpc_1251_21-f008,Adrenal Insufficiency,,Adrenal Gland
33897224_F1,cardiomegaly,thoracic cavity,heart
27488004_F4,CD10,cellular surface,
27488004_F4,LMP-1,cytoplasm,
27488004_F4,EBV,nuclear regions,
26949530_fig1,,,
35516716_jfmpc_1251_21-f009,Nonenhancing Necrotic Lesions,Nonenhancing Necrotic Areas,Adrenal Gland
27538452_f4,MERS-CoV,Areas of mononuclear cell infiltration and possibly other affected regions,Lung(s)
27538452_f4,MERS-CoV,"Areas with reduced extent of mononuclear cell infiltration, possibly affecting all around the lung",Lung(s)
27538452_f4,MERS-CoV,"Areas with further reduction in mononuclear cell infiltration after treatment, potentially affecting specific regions within the lungs",Lung(s)
