29434641_fig5,DiI-labelled MSCs,,synovial cavity
29434641_fig5,DiI-labelled MSCs,,synovial cavity
29434641_fig5,MSC-MNP,,synovial cavity
29434641_fig5,MSC-VEH,,synovial cavity
29434641_fig5,MSC-VEH,,synovial cavity
29434641_fig5,serum-free media,,synovial cavity
29434641_fig5,serum-free media,,synovial cavity
28536489_Figure4,intra-abdominal metastasis,abdomen,abdomen
32763504_f0025,tumor,bulk extracellular,tissue
32763504_f0025,tumor,red contour,tissue
30186975_F2,pneumonia,right lower lobe,lung
30186975_F2,collapse,right upper lobe,lung
29390521_F4,spindle cell lesions,kidney,kidney
29390521_F4,CD34,tumor,tumor
29390521_F4,smooth muscle actin,tumor,tumor
29390521_F4,S100,tumor,tumor
28491818_fig3,renal pelvises,renal pelvises,kidney
28491818_fig3,ureters,ureters,kidney
32605068_cancers-12-01707-f003,GBM tumors,tumors,brain
30186975_F3,right upper lobe collapse,right upper lobe,lung
30186975_F3,parenchymal opacity,right lung,lung
29390536_F3,Osteoma,cortical bone,bone
29390536_F3,Actinomyces,colonies,bone
28507892_fig1,hemoptysis,right middle lobe,lung
28507892_fig1,occlusion,central part,bronchus intermedius
28507892_fig1,ground glass opacities,right middle lobe,lung
28507892_fig1,consolidative opacities,right middle lobe,lung
32746523_f6-ns-2040078-039,spinal stenosis,L3/4 and L4/5 levels,spinal
32746523_f6-ns-2040078-039,facet cyst,right facet joint,spinal
30175036_fig1,infiltrates,basal,lungs
29390551_F1,Touton giant cell-like nuclei,nuclei,kidney
29390551_F1,extracellular lipid,extracellular lipid,kidney
29390551_F1,foamy macrophages,foamy macrophages,kidney
28491814_fig0015,intraparenchymal hemorrhage,pons,brain
28491814_fig0015,fourth ventricle,fourth ventricle,brain
28491814_fig0015,brain edema,cerebral hemispheres,brain
28491814_fig0015,brain edema,cerebellar hemispheres,brain
28491814_fig0015,brain edema,thalami,brain
28491814_fig0015,brain edema,midbrain,brain
28491814_fig0015,brain edema,pons,brain
32600272_Fig3,MRI,kidney,kidney
29954427_Fig1,ALVT,,left ventricle
29954427_Fig1,tunnel,right posterior sinus,left ventricle
29954427_Fig1,gap,anterolateral commissure,left ventricle
29954427_Fig1,tunnel,aorta,left ventricle
29390551_F5,xanthoma,foamy macrophages,kidney
28560024_rjx082F1,bowel intussusception,circular structure,bowel
32600272_Fig4,AS-DLMRI,,MRI
32600272_Fig4,DLMRI,,MRI
32600272_Fig4,LDP,,MRI
32600272_Fig4,AS-DLMRI,,phantom image
32600272_Fig4,DLMRI,,phantom image
32600272_Fig4,LDP,,phantom image
30419883_Fig1,heart,center of the chest,heart
29515979_g04,hyaline membrane disease,alveolar walls,lung
28560017_rjw180F2,hip dislocation,posterior,hip
32600272_Fig5,PSNR,PSNR,kidney
32600272_Fig5,HFEN,HFEN,kidney
32600272_Fig5,PSNR,PSNR,kidney
32600272_Fig5,HFEN,HFEN,kidney
35198051_F1,consolidation,opacities,lungs
29515979_g05,teratoma,adjacent normal appearing thymic tissue,thymus
29515979_g05,teratoma,teratoma extension,pericardium
28560018_rjw217F1,internal hernia,unknown,unknown
32600272_Fig6,PSNR,,kidney
32600272_Fig6,HFEN,,kidney
32600272_Fig6,Iteration Number,,kidney
32600272_Fig6,PSNR,,kidney
32600272_Fig6,HFEN,,kidney
32600272_Fig6,Iteration Number,,kidney
32600272_Fig6,PSNR,,kidney
32600272_Fig6,HFEN,,kidney
32600272_Fig6,Iteration Number,,kidney
35198051_F2,radiological progression,lung fields,lung
29515979_g06,immature neural tissue,neural tissue,brain
29515979_g06,epithelial component,epithelial,unknown
29515979_g06,adrenal tissue,adrenal,adrenal
29515979_g06,mesenchymal component,cartilage,cartilage
28560025_rjx084F2,thoracic pseudoaneurysm,distal to left subclavian artery,chest
32600272_Fig7,Signal-to-Noise Ratio,glomeruli,kidney
32600272_Fig7,Signal-to-Noise Ratio,alveoli,lung
32600272_Fig7,Signal-to-Noise Ratio,glomeruli,kidney
32600272_Fig7,Signal-to-Noise Ratio,alveoli,lung
35198049_F1,subcutaneous emphysema,subcutaneous tissue,chest
35198049_F1,subcutaneous emphysema,subcutaneous tissue,chest
35198049_F1,atelectasis,lower zones,lung
35198049_F1,atelectasis,lower zones,lung
29482496_Fig1,microvessels,vessels,kidney
32600272_Fig8,MRI image,glomeruli,kidney
32600272_Fig8,phantom image,glomeruli,kidney
35198049_F2,pneumomediastinum,mediastinum,mediastinum
35198049_F2,right chest tube,pleural cavity,pleural cavity
29536029_F3,Gal-positive,myofibers,muscle
29536029_F3,lymphocyte accumulations,muscle bundle,muscle
29536029_F3,lymphocyte accumulations,perimysial blood vessels,muscle
29536029_F3,CD8+ lymphocytes,myofibers,muscle
29536029_F3,CD4+ lymphocytes,myofibers,muscle
33133000_F1,H-EPVS,enlarged perivascular spaces,hippocampus
33133000_F1,MTA scale scores,enlarged perivascular spaces,hippocampus
33133000_F1,H-EPVS,enlarged perivascular spaces,hippocampus
33133000_F1,MTA scale scores,enlarged perivascular spaces,hippocampus
35195192_f01,interstitial involvement,right lung base,lung
29527166_F6,necrosis,growth plate,growth plate
29527166_F6,reduced number of blood vessels,growth plate,growth plate
29527166_F6,avascularized,growth plate,growth plate
29527166_F6,restored angiogenesis,proliferative zones,growth plate
28620506_fig2-2054270417698632,heterogeneous mass,empty,adrenal gland
28620506_fig2-2054270417698632,dilatation of the colon,transverse,colon
28620506_fig2-2054270417698632,abrupt transition point,splenic flexure,colon
33194201_fig1-2050313X20966119,hyperintensity,ear,middle ear
30271474_F1,coiled VP shunt,supradiaphragmatic,ventricle
29305467_BIO030015F7,macrophages,cytoplasm,muscle
29305467_BIO030015F7,macrophages,cytoplasm,muscle
29305467_BIO030015F7,macrophages,cytoplasm,muscle
29305467_BIO030015F7,macrophages,cytoplasm,muscle
29305467_BIO030015F7,macrophages,cytoplasm,muscle
29305467_BIO030015F7,macrophages,cytoplasm,muscle
28611638_f1,thickening,,cecum
28611638_f1,thickening,middle and distal thirds,ascending colon
33078678_fig1-2150132720964665,calcium deposit,,supraspinatus tendon
34874501_Fig2,heart,left border,heart
29038934_Fig2,hypoxia,tumor,tumor
28611638_f2,hypodense nodule,segment IV,liver
33115533_Fig1,Gray-level co-occurrence matrix,glomeruli,kidney
33115533_Fig1,Gray-level run length matrix,glomeruli,kidney
33115533_Fig1,Gray-level size zone matrix,glomeruli,kidney
33115533_Fig1,Neighborhood gray tone difference matrix,glomeruli,kidney
30424525_children-05-00149-f001,miliary nodules,lungs,lungs
29330224_F3,Vitamin D,,epithelialization
29330224_F3,Vitamin D,,collagen deposition
29330224_F3,Diabetic,,wounds
28611638_f4,liver lesions,lesions,liver
33178960_F2,anaplastic astrocytoma,brain,brain
29877257_g003,heart failure,ventricles,heart
29556366_F11,cartilage regeneration,subchondral bone,knee
29556366_F11,bone regeneration,defect region,knee
29556366_F11,hyaline cartilage-like tissue,continuous structure,knee
28611638_f5,liver lesions,lesions,liver
33178101_F1,WMH,empty,brain
33178101_F1,infarcts,empty,brain
29877257_g006,pacemaker implantation,upper left chest,chest
29556368_F10,H&E stained images,unknown,major organs
28611565_f1,perisplenic hematoma,perisplenic,spleen
28611565_f1,perihepatic hematoma,perihepatic,liver
33137112_pone.0241309.g005,inaccuracies,boundary locations,lumbar spine
30588026_f1-ott-12-015,lesions,alveoli,lung
29608574_pone.0194751.g005,critical sized radial bone defect,radial bone,bone
29608574_pone.0194751.g005,inflammatory cells,bone,bone
29608574_pone.0194751.g005,non-homogenous matrix,bone,bone
29608574_pone.0194751.g005,woven bone,bone,bone
29608574_pone.0194751.g005,hyaline cartilage,bone,bone
29608574_pone.0194751.g005,bone marrow,bone,bone
29608574_pone.0194751.g005,inflammatory cells,bone,bone
29608574_pone.0194751.g005,woven bone,bone,bone
29608574_pone.0194751.g005,hyaline cartilage,bone,bone
29608574_pone.0194751.g005,bone marrow,bone,bone
29608574_pone.0194751.g005,woven bone,bone,bone
29608574_pone.0194751.g005,hyaline cartilage,bone,bone
29608574_pone.0194751.g005,bone marrow,bone,bone
28611565_f2,free air,colon area,colon
33154700_f1-04mjms27052020_oa1,brain activity,brain,brain
30588453_f1-kjtcv-51-415,mass,thorax,left hemithorax
29311426_fig_002,muscle degeneration,muscle,cervical multifidus muscle
28768231_fig0010,cystic lesion,lower pole,spleen
33208804_Fig5,NaGdF4:Yb3+/Er3+@PEG nanoparticles,nanoparticles,body
30598831_Fig3,gastric perforation,stomach cavity,stomach
29311426_fig_003,atrophied myofibers,myofibers,muscle
29311426_fig_003,pyknotic nuclear clumps,nuclear clumps,muscle
28756359_fig0015,Hemosiderosis,Diffuse increased attenuation,Liver
28756359_fig0015,Retroperitoneal mass,Retroperitoneal,Kidney
33294238_fig1,relapse,body,body
34976496_FIG1,cardiomegaly,heart,heart
34976496_FIG1,bilateral diffuse infiltrates,lungs,lungs
29311426_fig_004,cytoplasmic vacuolization,myofibers,muscle
28756359_fig0025,renal allograft function,glomeruli,kidney
33437143_Fig2,Progressive Multifocal Leukoencephalopathy,right middle cerebellar peduncle,cerebellar hemisphere
33437143_Fig2,Progressive Multifocal Leukoencephalopathy,right cerebellar hemisphere,cerebellar hemisphere
33437143_Fig2,Progressive Multifocal Leukoencephalopathy,right middle cerebellar peduncle,brainstem
33437143_Fig2,Progressive Multifocal Leukoencephalopathy,right cerebellar hemisphere,brainstem
33437143_Fig2,Progressive Multifocal Leukoencephalopathy,right cerebellar hemisphere,brainstem
33437143_Fig2,Progressive Multifocal Leukoencephalopathy,right cerebellar hemisphere,brainstem
33437143_Fig2,Progressive Multifocal Leukoencephalopathy,right cerebellar hemisphere,brainstem
33437143_Fig2,Progressive Multifocal Leukoencephalopathy,right cerebellar hemisphere,brainstem
35035404_F1,COVID-19,peripheral zones,lung
29472497_fig4,dysplasia,kidney,kidney
28756363_fig0010,accessory spleen,abdominal region,spleen
35035404_F2,left upper lobe collapse,left upper lobe,lung
35035404_F2,fibrocalcific changes,lung,lung
35035404_F2,atelactatic bands,left lower zone,lung
35035404_F2,calcific granulomas,right middle zone,lung
35035404_F2,bilateral pleural effusions,pleural,lung
28472424_F1,VEN-120,colon,colon
28759826_fig0025,superior mesentery artery,abdomen,artery
28759826_fig0025,duodenum,abdomen,duodenum
33575682_g001,parasitic leiomyoma,abdominal wall,pelvis
35035402_F3,tuberculosis,lung,lung
28472424_F6,chronic murine ileitis,ileum,ileum
28641307_fig3,hENT1 overexpressing leiomyosarcoma,peritoneal nodules,retroperitoneal
28641307_fig3,hENT1 overexpressing leiomyosarcoma,lung metastasis,lung
33575682_g002,parasitic leiomyoma,pelvic region,pelvis
30283192_F1,nonhomogeneous opacities,irregular areas,left lung
30283192_F1,mediastinal shift,right side,left lung
30283192_F1,decreased hilar markings,central area,right lung
28472424_F7,inflammation,,tissue
28472424_F7,inflammation,,tissue
28472424_F7,CD4+ burden,LP,lamina propria
28472424_F7,CD4+ burden,MLN,mesenteric lymph nodes
28472424_F7,IL-10,LP,lamina propria
28472424_F7,IL-10,MLN,mesenteric lymph nodes
28472424_F7,IL-17 expressing cells,LP,lamina propria
28472424_F7,IL-17 expressing cells,MLN,mesenteric lymph nodes
28947971_F1,TKI dose reduction,,tumor
28947971_F1,erlotinib and omeprazole,,tumor
33573253_diagnostics-11-00204-f004,tumour-to-breast volume ratio,breast,breast
35308721_FIG1,dense infiltrate,right lower lobe,lung
29669530_Fig4,breast cancer,primary tumors,lung
29669530_Fig4,breast cancer,solid gland carcinoma,lung
29669530_Fig4,breast cancer,primary tumors,lung
28930853_F2,hepatic alveolar echinococcosis,alveolar,liver
28930853_F2,inferior vena cava,inferior vena cava,liver
33573253_diagnostics-11-00204-f005,tumour-to-breast volume ratio,breast,breast
35308721_FIG2,acute respiratory distress syndrome,pulmonary opacities,lungs
29721361_F9,metastatic gastric adenocarcinoma,monolayer,ascitic fluid
28966588_F3,crypts,cardia,heart
33540873_healthcare-09-00153-f001,meningioma tumor,brain,brain
33540873_healthcare-09-00153-f001,glioma tumor,brain,brain
33540873_healthcare-09-00153-f001,pituitary tumor,pituitary,brain
35308671_FIG1,lung fields,lung,lung
29744128_omy010F4,Naegleria fowleri,brain,brain
29062363_fig1,diffuse idiopathic skeletal hyperostosis,anterior aspect,spine
33715322_f5-jkns-2020-0117,L4 nodule,lamina,vertebra
33715322_f5-jkns-2020-0117,skin ostium,lumbosacral region,skin
33715322_f5-jkns-2020-0117,subcutaneous tract,lumbosacral region,skin
33715322_f5-jkns-2020-0117,L1/L2 nodule,junction vertebrae,vertebra
29805594_f2-ol-0-0-8401,primary tumors,,tumor
29805594_f2-ol-0-0-8401,xenograft tumors,,tumor
29805594_f2-ol-0-0-8401,Ki-67 expression,X-1,tumor
29805594_f2-ol-0-0-8401,Ki-67 expression,X-2,tumor
29805594_f2-ol-0-0-8401,Ki-67 expression,X-3,tumor
29213947_f1,ventricular dilatation,right Sylvian fissure,ventricles
33715322_f30-jkns-2020-0117,limited dorsal myeloschisis,supraspinous ligament,spinal
29735492_F4,eosinophils,interstitium,lung
29735492_F4,eosinophils,alveolar spaces,lung
29735492_F4,eosinophils,interstitium,lung
29213985_f5,diffuse axonal injury,gray-white matter,brain
33715322_f45-jkns-2020-0117,dorsal myeloschisis,S1 and S2 laminae,spinal cord
33715322_f45-jkns-2020-0117,transitional spinal cord lipoma,stalk,spinal cord
34975058_lungindia_173_21-g001,consolidation,upper zone,lungs
34975058_lungindia_173_21-g001,cavities,upper zone,lungs
29868478_F1,EAC pathogenesis,esophagus,esophagus
29213874_f1,cerebrum,empty,brain
29213874_f1,cerebellum,empty,brain
29213874_f1,brainstem,empty,brain
33715322_f48-jkns-2020-0117,skip laminectomy technique,T12 vertebra,spine
33715322_f48-jkns-2020-0117,laminoplasty,L1,spine
33715322_f48-jkns-2020-0117,laminectomy,L4L5,spine
34975058_lungindia_173_21-g002,parenchymal opacities,empty,lungs
34975058_lungindia_173_21-g002,cavitatory lesions,empty,lungs
29862013_f1,malignant peripheral nerve sheath tumor,spindle cells,nerve sheath
28957773_fig0010,rectouterine collection,uterus,uterus
34141632_F3,altered signal intensity,navicular,navicular bone
30593192_F1,foreign bodies,T4-5,spinal canal
30593192_F1,foreign bodies,upper back,spinal canal
29862013_f2,malignant peripheral nerve sheath tumor,,adrenal tissue
29862013_f2,pheochromocytoma,,adrenal tissue
28957773_fig0015,collections,right upper quadrant,unknown
28957773_fig0015,collections,rectouterine area,unknown
34141632_F4,altered signal intensity,bone,navicular bone
35454328_medicina-58-00489-f001,hydrothorax,right side,pleura
29764519_Fig3,neoplasm cells,,liver
29764519_Fig3,neoplasm cells,,spleen
29764519_Fig3,malaria pigments,,liver
29764519_Fig3,malaria pigments,,spleen
29201332_fig5,normal cases,,CT scans
29201332_fig5,pathological cases,,CT scans
33879660_F1,invasive papillary carcinoma,papillary structures,breast
30891176_rjz068F1,pleural effusion,left pleural space,left lung
30891176_rjz068F1,lower lobe collapse,lower lobe,left lung
29782611_Fig5,sloughing off of the superficial epithelial layer,mucosa,colon
29782611_Fig5,distension of crypt glands,crypts,colon
27298019_F2,pulmonary artery,PA bifurcation,lung
33936309_F1,hydrocephalus,ventricles,brain
30891176_rjz068F2,residual space,middle of the chest,lung
29854565_fig3,neutrophils and monocytes,congestion,tissue
29854565_fig3,edema,spaced fibers,tissue
29854565_fig3,leukocyte diapedesis of PMN,blood vessel,tissue
29114644_FI1603204-1,CT scan,body,body
33936309_F2,hydrocephalus,ventricles,brain
35003753_fig1-20542704211068651,Implantable Cardioverter Defibrillator,upper left chest area,chest
35003753_fig1-20542704211068651,coin-shaped lesion,right lung zone,lung
29899727_F1,atrophic fibers,skeletal muscle,skeletal muscle
29114644_FI1603204-2,postoperative CT scan,bones,anatomy
33936355_fig0003,lesion,suprarenal,suprarenal region
34781259_f2,consolidation,left lower lobe,lung
34781259_f2,pleural effusion,lateral and posterior,pleural space
34781259_f2,atelectasis,affected region,lung
29607882_fig_002,lymphocytic perivascular cuffing,,cerebrum
29607882_fig_002,edema,perivascular space,cerebrum
29607882_fig_002,chromogenic in-situ hybridization,,macrophages
29163345_F1,idiopathic NPH,ventricles,brain
33936355_fig0004,right suprarenal mass,,right suprarenal gland
33936355_fig0004,right kidney,,right kidney
33936355_fig0004,right adrenal gland,,right adrenal gland
33936355_fig0004,right lobe of the liver,right lobe,liver
31035648_jcm-08-00588-f001,CRT device,thorax,heart
31035648_jcm-08-00588-f001,CCM device,thorax,heart
31035648_jcm-08-00588-f001,ribcage,,ribcage
31035648_jcm-08-00588-f001,spine,,spine
31035648_jcm-08-00588-f001,lungs,,lungs
29928204_F1,lesion or abnormality,skin,skin
29204299_fig2,kidney cyst,cyst,kidney
29204299_fig2,nephrocalcinosis,calcinosis,kidney
33936355_fig0005,right suprarenal mass,gland,suprarenal gland
30916133_f1,mal-positioned dialysis catheter,catheter,chest
29928203_F2,adipocytes,mature adipocytes,skin
29204303_fig1,expansive mass,right maxillary sinus,maxillary sinus
33936355_fig0006,intralesional fat,right,suprarenal mass
35456110_pathogens-11-00435-f001,SARS-CoV-2 pneumonia,lung,lung
35456110_pathogens-11-00435-f001,left ventricular procidentia,ventricle,heart
29928185_F1,nonspecific reactive hepatitis,hepatocytes,liver
29157219_Fig5,intrathoracic bleeding,intrathoracic,chest
29157219_Fig5,hemopneumothorax,hemopneumothorax,chest
33935634_F9,ROC curves,,
35456110_pathogens-11-00435-f003,pneumothorax,bilateral,lung
35456110_pathogens-11-00435-f003,pneumomediastinum,,mediastinum
35456110_pathogens-11-00435-f003,subcutaneous thoraco-abdominal emphysema,"chest, abdomen",subcutaneous tissue
35456110_pathogens-11-00435-f003,pleural drainage,left side,pleura
35456110_pathogens-11-00435-f003,orotracheal tube,,trachea
35456110_pathogens-11-00435-f003,spinal surgery outcomes,thoracic and/or lumbar regions,spine
30111351_Fig1,H&E staining,tissue,tissue
29162067_Fig1,pubic bone fracture,bone structure,pubic bone
33913049_Fig1,fat pads,anterior aspect,knee
35456057_pathogens-11-00382-f002,tuberculosis,pulmonary,lung
35456057_pathogens-11-00382-f002,tuberculosis,pulmonary,lung
35456057_pathogens-11-00382-f002,HIV,,unknown
30148200_f0015,irregularly shaped nuclei,empty,kidney
30148200_f0015,increased cell density,empty,kidney
30148200_f0015,disrupted tissue architecture,empty,kidney
29181148_rjx226F1,rectus sheath hematoma,sheath,rectus sheath
30996704_suz044-F2,lung opacities,lung,lung
30996704_suz044-F2,enlarged heart,heart,heart
30996704_suz044-F2,abnormal fluid levels,lung,lung
30138385_pone.0202929.g002,destruction of epithelium,epithelium,colon
30138385_pone.0202929.g002,crypt loss,crypts,colon
30138385_pone.0202929.g002,infiltration of lymphocytes,lamina propria,colon
30138385_pone.0202929.g002,infiltration of polymorphonuclear cells,epithelium,colon
30138385_pone.0202929.g002,infiltration of neutrophils,epithelium,colon
30138385_pone.0202929.g002,infiltration of eosinophils,lamina propria,colon
30138385_pone.0202929.g002,infiltration of granulocytes,lamina propria,colon
30138385_pone.0202929.g002,architectural modification of mucosa,mucosa,colon
30138385_pone.0202929.g002,ulceration of epithelium,epithelium,colon
30138385_pone.0202929.g002,infiltration of lymphocytes,submucosal layers,colon
30138385_pone.0202929.g002,infiltration of neutrophils,submucosal layers,colon
30138385_pone.0202929.g002,infiltration of eosinophils,submucosal layers,colon
30138385_pone.0202929.g002,infiltration of granulocytes,submucosal layers,colon
29181148_rjx226F2,right-sided hernia,space of Retzius,abdomen
29181148_rjx226F2,right-sided hernia,retroperitoneum,abdomen
33937027_f1,elastic net,empty,brain
33937027_f1,RFE,empty,brain
30996704_suz044-F4,discharge,alveoli,lungs
29132203_f2-kjim-2016-120,metastatic papillary thyroid carcinomas,periphery,thyroid
29132203_f2-kjim-2016-120,chronic granulomatous inflammation,preserved,lymph node
29132203_f2-kjim-2016-120,caseous necrosis,preserved,lymph node
29132203_f2-kjim-2016-120,psammoma bodies,structures,lymph node
29181148_rjx226F3,hematomas,,rectus sheath
29181148_rjx226F3,hematomas,,retroperitoneal areas
33571801_F1,T2 hyperintensity,ventricle,ventricle
31007826_f0001,transposition of the great arteries,heart,heart
30210750_f1-mjhid-10-1-e2018057,lymphocyte infiltration,epineural vessels,nerve
30210750_f1-mjhid-10-1-e2018057,fibrinoid necrosis,vessel walls,nerve
29326767_fig03,bony union,bone,bone
33571801_F2,T2 hyperintensity,empty,kidney
33571801_F2,T1 enhancement,cortical surface,kidney
35103132_FIG1,infiltrate,lung base,lung
30201052_Fig5,intervertebral disc degeneration,nucleus pulposus,vertebral disc
30201052_Fig5,intervertebral disc degeneration,annulus fibrosus,vertebral disc
30201052_Fig5,intervertebral disc degeneration,bony endplate,vertebral disc
29282351_f3-amjcaserep-18-1390,nodular opacity,lung,lung
33999951_pone.0251529.g002,dual-domain reconstruction model,empty,MRI
35069230_F7,atelectasis,left lung,lung
35069230_F7,atelectasis,right lung,lung
35069230_F7,uncontrolled asthma,right lung,lung
35069230_F7,neuromuscular pathology,left lung,lung
29633730_F3,megakaryocytes,bone,bone marrow
29318014_fig1-2050313X17746310,mass,junction,gastro duodenal
33999951_pone.0251529.g005,cerebral infarction,vessel branches,brain
33999951_pone.0251529.g005,cerebral infarction,vessel stenosis,brain
33999951_pone.0251529.g005,cerebral infarction,lesion,brain
35103133_FIG1,lung condition,lung,lung
33878257_f4-jkns-2020-0236,herniated disc,anteriorly,spinal cord
33878257_f4-jkns-2020-0236,herniated disc,anteriorly,spinal cord
33878257_f4-jkns-2020-0236,hypertrophied ligament flavum,posteriorly,spinal cord
35103133_FIG6,SARS-CoV-2-induced adult respiratory distress syndrome,lung fields,lung
30274301_ijms-19-02979-f007,BxPC-3-tumor,tumor,lung
29318024_fig4-2055116917747741,abdominal hernia,abdominal region,abdomen
29318024_fig4-2055116917747741,fetal skeletons,skeleton,abdomen
34149977_fig0002,seventh cranial nerves,nerve,brainstem
34149977_fig0002,eighth cranial nerves,nerve,brainstem
30304826_ijms-19-03083-f006,dual luciferase reporter assay,,kidney
30304826_ijms-19-03083-f006,dual luciferase reporter assay,,kidney
30304826_ijms-19-03083-f006,RT-PCR,,kidney
30304826_ijms-19-03083-f006,AURKA,,kidney
30304826_ijms-19-03083-f006,STAG3,,kidney
30304826_ijms-19-03083-f006,AURKA,,kidney
30304826_ijms-19-03083-f006,STAG3,,kidney
30304826_ijms-19-03083-f006,AURKA,,kidney
30304826_ijms-19-03083-f006,STAG3,,kidney
30304826_ijms-19-03083-f006,AURKA,,testis
30304826_ijms-19-03083-f006,STAG3,,testis
29318024_fig5-2055116917747741,peritoneopericardial hernia,pericardium,heart
34123843_f1,deep learning models,,
30257482_marinedrugs-16-00351-f009,tibial defects,tibial,bone
29333235_f2,metastatic lymph node,supraclavicular region,lymph node
34123843_f2,PAC,PA regions,kidney
34123843_f2,PAC,PA regions,kidney
34123843_f2,PAC,PA regions,kidney
31416441_Fig1,pneumonia,alveoli,lungs
31416441_Fig1,pleural effusion,pleura,lungs
31416441_Fig1,lung nodules,lung,lungs
30428918_Fig5,aggregation of inflammatory cells,massive,lung
30428918_Fig5,fibrotic lesions,massive,lung
28912165_F1,tuberculosis,cerebellar ring-enhancing lesion,cerebellum
34070851_medicina-57-00550-f001,meniscus degeneration,medial meniscus,knee
34070851_medicina-57-00550-f001,meniscus rupture,medial meniscus,knee
34070851_medicina-57-00550-f001,meniscus degeneration,anterior segment,knee
34070851_medicina-57-00550-f001,meniscus degeneration,posterior segment,knee
31416441_Fig3,lung,clearer and healthier,lungs
31416441_Fig3,heart,normal size and shape,heart
31416441_Fig3,ribcage,normal,ribcage
30413208_Fig9,spongiosis,,hippocampus
30413208_Fig9,neuronal shrinkage,,hippocampus
30413208_Fig9,microabscesses,,cortex
30413208_Fig9,spongiosis,,cortex
30413208_Fig9,neuronal shrinkage,,cortex
30413208_Fig9,microabscesses,,cortex
30413208_Fig9,spongiosis,,cortex
30413208_Fig9,neuronal shrinkage,,cortex
30413208_Fig9,microabscesses,,cortex
29344119_f8-ol-0-0-7094,hypermetabolic malignancy,residual,lung
34073627_diagnostics-11-00959-f004,prostate cancer,prostate,prostate
35602222_Fig2,abnormal signs,,pleura
35602222_Fig2,abnormal signs,,lung parenchyma
35602222_Fig2,abnormal signs,,mediastinum
35602222_Fig2,abnormal signs,,thoracic wall
30364998_nly098-F2,progressive supranuclear palsy,upper lobe,brain
30364998_nly098-F2,phosphorylated neurofilaments,,brain
30364998_nly098-F2,glial fibrillary acidic protein,,brain
29317964_F1,left hilar mass,left hilum,lung
34268049_FIG2,soft tissue mass,right pelvis,pelvis
35497692_ija_994_21-f001,recurrent respiratory papillomatosis,lung fields,lungs
30519546_f1-jhc-5-099,adrenal cortical carcinoma,adrenal,adrenal
29317965_F1,left abdominal mass,left abdomen,abdomen
34513360_FIG1,epidural hematoma,epidural,spinal cord
35259812_lungindia_524_21-f001,calcified micronodulations,lung zones,lung
30524424_F2,eosinophilic inflammation,esophagus,gastrointestinal tract
30524424_F2,eosinophilic inflammation,gastric antrum,gastrointestinal tract
30524424_F2,eosinophilic inflammation,proximal duodenum,gastrointestinal tract
29317945_F1,small intestine,dilated loop,small intestine
34513360_FIG2,epidural hematoma,epidural,spinal cord
35259808_lungindia_662_21-f001,opacities,bilateral lower zones,lungs
30510375_F2,cholestasis,left lobe,liver
30510375_F2,fibrosis,right lobe,liver
30510375_F2,fibrosis,right lobe,liver
30510375_F2,inflammation,right lobe,liver
30510375_F2,necrosis,right lobe,liver
29317946_F1,intussusception,intestine,bowel
34132448_mpr1882-fig-0007,rehabilitation training,brain,brain
35259808_lungindia_662_21-f003,infiltrates,alveoli,lung
30373097_antioxidants-07-00150-f006,ABT-263,glomeruli,pulmonary artery
30373097_antioxidants-07-00150-f006,SU5416/hypoxia,glomeruli,pulmonary artery
30373097_antioxidants-07-00150-f006,PA remodeling,glomeruli,pulmonary artery
29304756_Fig2,daughter cysts,peripheral areas,liver
34526873_fig8,complete placenta previa,cervical opening,placenta
34526873_fig8,partial placenta previa,cervical opening,placenta
34526873_fig8,marginal placenta previa,cervical opening,placenta
35061767_pone.0262052.g003,lung opacity,normal lung fields,lung
35061767_pone.0262052.g003,lung condition,,lung
35061767_pone.0262052.g003,lung condition,,lung
35061767_pone.0262052.g003,lung opacity,significant lung opacity,lung
35061767_pone.0262052.g003,enlarged heart,,heart
30524266_F3,no abnormalities,,heart
30524266_F3,no abnormalities,,lung
30524266_F3,no abnormalities,,liver
30524266_F3,no abnormalities,,spleen
29340167_Fig3,mass,upper right quadrant,body
34513537_FIG1,mineral deposition,bilateral,basal ganglia
35061767_pone.0262052.g010,COVID-19,ground-glass opacities,lungs
35061767_pone.0262052.g010,pneumonia,consolidation,lungs
30524266_F4,kidney,glomeruli,kidney
30524266_F4,kidney,tubules,kidney
29540948_f1,EFN,epipericardial fat,heart
34513462_FIG1,tumor,brain,brain
34513462_FIG1,edema,surgical site,brain
31032152_FIG1,pleural effusion,right side,pleura
30524266_F5,hippocampus,,hippocampus
30524266_F5,hippocampus,,hippocampus
30524266_F5,hippocampus,,hippocampus
28705410_fig0015,Chan-Vese,empty,lung
28705410_fig0015,Vemuri's algorithm,empty,lung
28705410_fig0015,GCV + Vem,empty,lung
34513462_FIG2,Gd-enhanced tumor,brain,brain
34513462_FIG2,preoperative edema,surgical site,brain
31024957_F1,cardiomegaly,heart,heart
31024957_F1,VGAM,posterior choroidal,choroid
31024957_F1,VGAM,pericallosal,choroid
31024957_F1,VGAM,posterior choroidal,choroid
31024957_F1,VGAM,pericallosal,choroid
31024957_F1,VGAM,posterior choroidal,choroid
31024957_F1,thrombosis,sagittal sinuses,choroid
30173497_F5,inflammation,interstitial,lung
30173497_F5,inflammation,perivascular,lung
30173497_F5,inflammation,interstitial,lung
